Change,Excluded,Name,Original,en,fr
,,???,"\portrait[Aiden]\pscale[1]\poff[50,50]What... was that?!\|
It felt... familiar...",,
,,???,"\portrait[Aiden]\pscale[1]\poff[50,50]Urgh... my head... hurts...",,
,,The Host,"Welcome to The Oblivium. As its ruler, I formally 
greet you.",,
,,The Host,"Now, more importantly... What do you think 
of the decor? I did it myself!",,
,,The Host,"\portrait[The-Host2]\pscale[1]\poff[50,50](a strange voice)
Oh, but by 'myself,' I mean...\| well, isn't that 
something for you to figure out? Haha!",,
,,???,"\portrait[Aiden]\pscale[1]\poff[50,50](What does he mean?)",,
,,???,"\portrait[Aiden]\pscale[1]\poff[50,50]The Oblivium?",,
,,The Host,"Hehe! \|Catchy, right? ...Well, you’ll get it eventually.
For now, shouldn’t you be asking something more important?",,
,,???,"\portrait[Aiden]\pscale[1]\poff[50,50]...",,
,,The Host,Who are you?,,
,,???,"\portrait[Aiden]\pscale[1]\poff[50,50](Who am I...?\| Why can't I remember anything?)",,
,,???,"\portrait[Aiden]\pscale[1]\poff[50,50]Aiden...\| My name is Aiden...",,
,,The Host,"\portrait[The-Host2]\pscale[1]\poff[50,50](a strange voice) 
Haha! The kid's funny, trying to remember!",,
,,The Host,"Let me give you a little advice, Aiden. 
*Here, nothing moves... unless you truly try.*",,
,,The Host,"Help the people in the village. Maybe 
your memories will return.",,
,,Aiden,The village? But there's nothing here!,,
,,The Host,"\portrait[The-Host2]\pscale[1]\poff[50,50](a strange voice)
Haha!",,
,,The Host,"Oh, one more thing. *Be careful with your emotions. 
Things might get harder otherwise.*",,
,,The Host,"Now, go see the healer!",,
,,,"
[Cutscene2]
","
[Cutscene2]
","
[Cutscene2]
"
,,,"
[Oblivium2]
","
[Oblivium2]
","
[Oblivium2]
"
,,,"Navigation Directions in this complex space.
- To The Healer: Always downward
- To Almost Nowhere: Almost everything else",,
,,,"Welcome to The Healer’s lair—made possible by 
your questionable decisions and poor life choices.",,
,,,"It is said that long ago, an old man walked so often 
toward the village that his steps became a path for 
all to follow.",,
,,Elderly Man,You startled me!\| I was lost in thought...,,
,,Elderly Man,"I tried to find my way to my son's village,
but the path keeps hiding from me.",,
,,Elderly Man,"I can see in your eyes the same look as my 
son...\| Always searching, yet never truly 
finding.",,
,,Elderly Man,"Perhaps if you help me find my way,
it might guide you as well.",,
,,Elderly Man,"But I don’t know where to begin... Maybe
there’s something in my house or outside
that could help.",,
,,Aiden,This feels off... I guess I should start over.,,
,,,"A park with a relaxing musical zone. 
Step to play chords: Top-Cm, Right-Gm, Left-Dm",,
,,,"You step on the musical square, but nothing plays. 
It seems you lack the inspiration to create music.",,
,,Elderly Man,"This fear...\| My son composed this music
after we had argued... It's been years 
I didn't speak to him...",,
,,Elderly Man,"This sadness...\| My son composed this music
after we had argued... It's been years 
I didn't speak to him...",,
,,Elderly Man,"This anger...\| My son composed this music
after we had argued... It's been years 
I didn't speak to him...",,
,,Elderly Man,"Now I remember... the direction to the village! 
You must cross a long forest to reach the bridge!",,
,,Elderly Man,"Maybe there’s something in my house —or 
outside—that could help finding the path
to the village.",,
,,Aiden,"\portrait[Aiden]\pscale[1]\poff[60,20]It's best not to venture out if I don't know
my way around.",,
,,,"
[InsideGrandPa]
","
[InsideGrandPa]
","
[InsideGrandPa]
"
,,,"On the bedside table rests an old vinyl player.
Would you like to play a record?",,
,,,Play the first record: Fear,,
,,,Play the second record: Sorrow,,
,,,Play the final record: Anger,,
,,,"Composed in fear, by an unknown artist, with chords: 
Cm-Dm-Gm-Gm-Cm-Dm.",,
,,Aiden,"\portrait[Aiden]\pscale[1]\poff[60,20]Maybe I could go check out the park now...",,
,,,"Composed in sorrow, by an unknown artist, with chords:
Cm-Gm-Dm-Dm-Gm-Cm.",,
,,,"Composed in anger, by an unknown artist, with chords:
Cm-Dm-Gm-Gm-Dm-Cm.",,
,,,"The chosen vinyl conveys fear, with chords:
 Cm-Dm-Gm-Gm-Cm-Dm
Would you like to play it again?",,
,,,Yes,,
,,,No,,
,,,"The chosen vinyl conveys sorrow, with chords:
 Cm-Gm-Dm-Dm-Gm-Cm
Would you like to play it again?",,
,,,"The chosen vinyl conveys anger, with chords:
 Cm-Dm-Gm-Gm-Dm-Cm
Would you like to play it again?",,
,,,"
[Forest-Village]
","
[Forest-Village]
","
[Forest-Village]
"
,,,"\pop[3] Haha, what a fool!",,
,,,\pop[5] He will never succeed.,,
,,,"\pop[7] Well boy, you should try harder.",,
,,,\pop[8] Is he even worth watching? What a waste of time.,,
,,,"
[Bridge]
","
[Bridge]
","
[Bridge]
"
,,Aiden,"Ugh, the bridge seems to be broken. What should 
I do?\| *I have a feeling this could affect my 
mind or my memories.*",,
,,,Try to repair the bridge.,,
,,,Don’t do anything and go find the old man.,,
,,,"Ugh, I can't seem to be able to repair
the bridge...I better go find the old man.",,
,,Elderly Man,"You really did fix the bridge. Good work, 
now let’s keep going, we’re nearly there.",,
,,Aiden,I’d rather not go through the forest now.,,
,,,Cross the bridge to reach the village.,,
,,,"
[Utils]
","
[Utils]
","
[Utils]
"
,,,"
[FlowerField]
","
[FlowerField]
","
[FlowerField]
"
,,,"The village is just ahead. 
Thank you, young one...",,
,,,"I hope my son will agree to see me...\| Family...\|
such a strange bond, isn't it? \|The source of 
the greatest joys, and the deepest sorrows.",,
,,,"Take this. I hope this token can help you
find what you’re looking for.",,
,,Aiden,A memory token?... Wait... My head...,,
,,,"
[Village]
","
[Village]
","
[Village]
"
,,,"
[RythmeGamePress]
","
[RythmeGamePress]
","
[RythmeGamePress]
"
,,,"
[ToTheVillage]
","
[ToTheVillage]
","
[ToTheVillage]
"
,,,"
[Memories]
","
[Memories]
","
[Memories]
"
,,,"
[Memory1]
","
[Memory1]
","
[Memory1]
"
,,Grandma,Aiden!,,
,,Grandma,"Aiden, what are you doing daydreaming like that? 
Come on, I’ll push you on the swing!",,
,,Little Aiden,"I'm coming, Grandma!",,
,,Grandma,"*This child has already been through far 
too much for his age...*",,
,,Little Aiden,"Look, Grandma! I'm touching the sky!",,
,,Grandma,"Careful, little bird! 
Don’t fly too far from me!",,
,,Grandma,*I had to take him away from his own mother...*,,
,,Little Aiden,Wheee! I'm going so high!,,
,,Grandma,"Hm?\| Ah... yes, you are, sweetheart.",,
,,Grandma,"*Sigh*
...",,
,,Little Aiden,This is the best!,,
,,,"
[GrandPHouse]
","
[GrandPHouse]
","
[GrandPHouse]
"
,,Aiden,"This house feels familiar... maybe I'll find something that 
might help me remember.",,
,,,"
[PhotoAlbum]
","
[PhotoAlbum]
","
[PhotoAlbum]
"
,,,"
[MemoryStars]
","
[MemoryStars]
","
[MemoryStars]
"
,,Grandma,"Look up, Aiden. The sky is really beautiful, isn’t it?",,
,,Little Aiden,"Wow!\| Do you see that Grandma...
The stars, they shine like little lamps!",,
,,Grandma,"Yes, I see it. And look, if you trace lines 
between the stars, you can draw in the sky.",,
,,Little Aiden,"Oh, great!",,
,,Little Aiden,"Grandma, look!\| If I connect the one on the 
left with the one on the right and back to 
the left, it looks like a chicken!",,
,,Grandma,"Yes, I see your chicken. Do you want us to
draw some friends for it?",,
,,Little Aiden,"Hmm... I’m not sure. It’s next to that 
lonely star over there that looks like Mom.
Do you think they can be friends?",,
,,Grandma,"Yes, my heart, they can be the best friends in
the world.",,
,,Little Aiden,Do you think a star could fall into my pocket?,,
,,Grandma,"Maybe so... But if a star falls into your 
pocket, you’ll have to take care of it
like a treasure.",,
,,Little Aiden,"Alright, Grandma!",,
,,Little Aiden,"Say Grandma, if the stars are treasures,
when people die do they join the stars?",,
,,Grandma,"Oh, my heart... Maybe so. But we are all 
here with you, and for a very long time.
So don’t you worry.",,
,,Little Aiden,"Alright...\| But if ever...\| I’ll look for 
her in the sky.",,
,,The Developer,"Thank you for playing this demo! Your feedback 
will help decide if the story continues: [LINK]

Carotopia","Thank you for playing this demo! Your feedback 
will help decide if the story continues: [LINK]

Carotopia","Thank you for playing this demo! Your feedback 
will help decide if the story continues: [LINK]

Carotopia"
,,,"
[Test]
","
[Test]
","
[Test]
"
,,,"
[Oblivium2-andre]
",,
,,The Healer,"You’re in the Oblivium, a place that exists 
between what was and what’s yet to come.",,
,,Aiden,"Now’s really not the time to crash in someone 
else’s bed!\|...Weirdly comfy, though.",,
,,Aiden,"It’s a big wicker wardrobe. I can’t look
through while she’s watching me.",,
,,Aiden,"That’s where she kept the journal.
Now that I look at it more closely... 
this wardrobe feels familiar.",,
NEW,,Aiden,A painting of a house with a swing and a pond.,,
,,Elderly Man,"You scared me!\| 
I was just... lost in thought.",,
,,Elderly Man,"I have been trying to get to my 
son’s village, but the path keeps 
disappearing on me.",,
,,Elderly Man,"I can see it in your eyes...\| the same 
look he used to have.\| Always searching 
yet never truly finding.",,
,,Elderly Man,"If you help me find my way, 
you may find yours too.",,
,,Elderly Man,"This fear...\| My son composed this music
after we had argued... \|I haven’t spoken
to him since...",,
,,Aiden,"I should look around. Maybe I’ll find 
something in one of the rooms...",,
,,Aiden,"An old photo album.\|
Maybe I...\| Never mind. Let’s open it.",,
,,Aiden,"I’ve been here before... haven’t I? 
Maybe something here can help me remember.",,
,,Aiden,"I don’t remember much about these pictures... 
but it hurts to look away.",,
,,Aiden,Feels nice to be in bed... though it’s a bit small.,,
,,Aiden,"This bathtub’s been used so many times...
it’s probably older than me.",,
,,Aiden,"It smells like vegetable soup. 
It’s kind of comforting.",,
,,Aiden,"I pestered my grandma so much she 
got me my own radio, that, I remember.",,
,,Aiden,Nothing beats a good fire.,,
,,Aiden,"There are so many history and geography books... 
They loved to learn about the world.",,
,,Aiden,The fridge won’t open.,,
,,Aiden,This mirror makes me look older.,,
,,,"
[MAP DISPLAY NAMES]
","
[MAP DISPLAY NAMES]
","
[MAP DISPLAY NAMES]
"
,,,Village,Village,Village
,,,"
[Common Events]
","
[Common Events]
","
[Common Events]
"
,,,"
[SCRIPT CALLS]
","
[SCRIPT CALLS]
","
[SCRIPT CALLS]
"
,,,"
[PLUGIN COMMANDS]
","
[PLUGIN COMMANDS]
","
[PLUGIN COMMANDS]
"
,,,cutscene1A,cutscene1A,cutscene1A
,,,A...A flashback?,A...A flashback?,A...A flashback?
,,,fade,fade,fade
,,,cutscene1B,cutscene1B,cutscene1B
,,,cutscene1C,cutscene1C,cutscene1C
,,,That little boy... is that me?,,
,,,Cm,Cm,Cm
,,,chord-Cm-fear,chord-Cm-fear,chord-Cm-fear
,,,Gm,Gm,Gm
,,,chord-Gm-fear,chord-Gm-fear,chord-Gm-fear
,,,Dm,Dm,Dm
,,,chord-Dm-fear,chord-Dm-fear,chord-Dm-fear
,,,chord-Cm-sad,chord-Cm-sad,chord-Cm-sad
,,,chord-Gm-sad,chord-Gm-sad,chord-Gm-sad
,,,chord-Dm-sad,chord-Dm-sad,chord-Dm-sad
,,,chord-Cm-angry,chord-Cm-angry,chord-Cm-angry
,,,chord-Gm-angry,chord-Gm-angry,chord-Gm-angry
,,,chord-Dm-angry,chord-Dm-angry,chord-Dm-angry
,,,It’s quiet out here... maybe I should start humming.,,
,,,"Hmm... hmm-mmh... hmm... Yeah, that’s terrible.",,
,,,Haha... it's all starting to look the same out here.,,
,,,"[Wind rises, then fades]",,
,,,...Is this the right path? I can't see where it ends.,,
,,,"Still... if I go back now, will it be alright?",,
,,,He said to “keep going!”,,
,,,But what if there’s nothing ahead?,,
,,,No signs. No guide. Just the weight of my thoughts.,,
,,,At what point does doubt become insight?,,
,,,Garamond,Garamond,Garamond
,,,AnimatedGrass,,
,,,Placeholder text for my album\\\\\\\\\\\\\\\,,
,,,water,,
,,,water-alone,,
,,,AnimatedGrass-i,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,Aiden,"A painting of a lovely house with a 
swing and a pond.",,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,The Host,"Hehe! \|Catchy, right? I came up with the name,
had ages to think about it.",,
,,The Host,"Hehe... well, you’ll get it eventually. For now, 
shouldn’t you be asking something more important?",,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]Everything’s so... empty.",,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]Am I dead?\| Or... maybe dreaming?\| 
I can’t feel anything...",,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]What... was that?!\|
It felt... familiar...",,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]Urgh... my head... hurts...",,
,,The Host,"\portrait[The-Host2]\pscale[1]\poff[100,50](a strange voice)
Oh, but by 'myself,' I mean...\| well, isn't that 
something for you to figure out? Haha!",,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50](What does he mean?)",,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]The Oblivium?",,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]...",,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50](Who am I...?\| Why can't I remember anything?)",,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]Aiden...\| My name is Aiden...",,
,,The Host,"\portrait[The-Host2]\pscale[1]\poff[100,50](a strange voice) 
Haha! The kid's funny, trying to remember!",,
,,The Host,"\portrait[The-Host2]\pscale[1]\poff[100,50](a strange voice)
Haha!",,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]Where...\| Where am I?",,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,Aiden,...What am I even doing...,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,The Host,"Hehe! \|Catchy, right? I came up with the name myself,
had ages to think about it.",,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,The Host,"Hehe! \|Catchy, isn’t it? I made the name up myself,
had decade to think about it.",,
,,The Host,"Hehe, you'll understand in time. For now, shouldn't 
you be asking something more important?",,
,,Aiden,"I just woke up and I’m already back in bed... Guess 
the migraines make me sick. I feel a bit uneasy... resting 
in someone's else's bed... but it's strangely comfortable.",,
,,Aiden,...Feels good.,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,The Host,"Mhm! I made the name up myself, had decade to 
think about it.",,
,,The Host,"You'll understand in time. For now, shouldn't 
you be asking something more important?",,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]What... was that? 
It felt... familiar.",,
,,The Host,"Haha, I made the name up myself, 
had decade to think about it.",,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]Everything’s so...\| empty.",,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]Am I dead?\| Or... \|maybe dreaming?\| 
I can’t feel anything...",,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,The Host,"Haha! You'll understand in time. For now, shouldn't 
you be asking something more important?",,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50](Who am I...? Why can't I remember anything?)",,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]Aiden... My name is Aiden, I think...",,
,,Aiden,The village? But there's nothing here...,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]Where... am I?",,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]It's so empty here...",,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]Am I dead? \|Or is this a dream?
I can't feel anything...",,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]What was that? It felt so familiar...",,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]Urgh... My head... It hurts...",,
,,,"Haha, it's all starting to look the same out here.",,
,,,[Wind music effect that comes and dies],,
,,,..Is this the right path? I can't see where it ends.,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,,It’s all starting to look the same.,,
,,,Is this the right path? I can't see where it ends.,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,,He said to “Keep going!”,,
,,,"No signs, no guide, just the weight of my thoughts.",,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,,"He said to go straight, they always say that.",,
,,,“Keep going!”,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,,Maybe I took a wrong turn...,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,,Is this the right path? ,,
,,,I can’t see where it ends.,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,,Maybe the old man was mistaken...,,
,,,or maybe I took a wrong turn.,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,Elderly Man,"I can see it in your eyes...\| the same 
look he used to have. Always searching 
yet never truly finding.",,
,,Elderly Man,"Maybe if you help me find my way, 
you’ll find yours too.",,
,,,Is this the right path? I see no end.,,
,,,Maybe I’ve gotten lost.,,
,,,"If I turn back now, will it be alright?",,
,,,“Keep going!” What if there’s nowhere to turn?,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,???,"\portrait[Aiden]\pscale[1]\poff[100,50]Am I dead? Or is this a dream?
I can't feel anything...",,
,,Aiden,"An old photo album... it feels like 
I should know whose it is.",,
,,Aiden,"I don’t remember these pictures... 
but it hurts to look away.",,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,Aiden,I don’t remember these pictures... but it hurts to look away.,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,,mom is crying\\\\\\\\\\\\\\\,mom is crying\\\\\\\\\\\\\\\,mom is crying\\\\\\\\\\\\\\\
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,,"I hope my son will agree to see me...\\|
Family — such a strange bond, isn't it?
The source of the greatest joys, and 
the deepest sorrows.",,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,,"
[DATABASE ENTRIES]
","
[DATABASE ENTRIES]
","
[DATABASE ENTRIES]
"
,,,"
[GAME TITLE]
","
[GAME TITLE]
","
[GAME TITLE]
"
,,,Through Aiden’s memories,Through Aiden’s memories,Through Aiden’s memories
,,,"
[Title Screen]
","
[Title Screen]
","
[Title Screen]
"
,,,Ruins.png,Ruins.png,Ruins.png
,,,"
[Actors]
","
[Actors]
","
[Actors]
"
,,,Aiden,Aiden,Aiden
,,,OldMan,OldMan,OldMan
,,,OldManWLadder,OldManWLadder,OldManWLadder
,,,"
[Classes]
","
[Classes]
","
[Classes]
"
,,,Swordsman,Swordsman,Swordsman
,,,Sorcerer,Sorcerer,Sorcerer
,,,Priest,Priest,Priest
,,,Knight,Knight,Knight
,,,Martial Artist,Martial Artist,Martial Artist
,,,Magic Swordsman,Magic Swordsman,Magic Swordsman
,,,Hunter,Hunter,Hunter
,,,Bandit,Bandit,Bandit
,,,"
[Skills]
","
[Skills]
","
[Skills]
"
,,,Attack,Attack,Attack
,,,%1 attacks!,%1 attacks!,%1 attacks!
,,,Guard,Guard,Guard
,,,%1 guards.,%1 guards.,%1 guards.
,,,-----Reserved,-----Reserved,-----Reserved
,,,"Below are spaces for when you would like to display
things above skills when you open the menu.","Below are spaces for when you would like to display
things above skills when you open the menu.","Below are spaces for when you would like to display
things above skills when you open the menu."
,,,-----Enemy,-----Enemy,-----Enemy
,,,Dual Attack,Dual Attack,Dual Attack
,,,Performs a series of attacks on an enemy.,Performs a series of attacks on an enemy.,Performs a series of attacks on an enemy.
,,,Double Attack,Double Attack,Double Attack
,,,Performs a double attack on a random enemy.,Performs a double attack on a random enemy.,Performs a double attack on a random enemy.
,,,Triple Attack,Triple Attack,Triple Attack
,,,Performs a triple attack on a random enemy.,Performs a triple attack on a random enemy.,Performs a triple attack on a random enemy.
,,,Escape,Escape,Escape
,,,The user flees from battle.,The user flees from battle.,The user flees from battle.
,,,%1 flees.,%1 flees.,%1 flees.
,,,Wait and See,Wait and See,Wait and See
,,,Waits to see what happens.,Waits to see what happens.,Waits to see what happens.
,,,%1 is waiting to see what happens.,%1 is waiting to see what happens.,%1 is waiting to see what happens.
,,,Blood Suck,Blood Suck,Blood Suck
,,,Absorbs HP from an enemy.,Absorbs HP from an enemy.,Absorbs HP from an enemy.
,,,%1 sucks blood!,%1 sucks blood!,%1 sucks blood!
,,,Meditate,Meditate,Meditate
,,,Restores the user’s HP.,Restores the user’s HP.,Restores the user’s HP.
,,,%1 meditates!,%1 meditates!,%1 meditates!
,,,Tranquilizer,Tranquilizer,Tranquilizer
,,,Stabs an enemy with paralyzing needles.,Stabs an enemy with paralyzing needles.,Stabs an enemy with paralyzing needles.
,,,%1 does %2!,%1 does %2!,%1 does %2!
,,,Bodyslam,Bodyslam,Bodyslam
,,,Inflicts damage and causes an enemy to lose balance.,Inflicts damage and causes an enemy to lose balance.,Inflicts damage and causes an enemy to lose balance.
,,,%1 does bodyslam!,%1 does bodyslam!,%1 does bodyslam!
,,,Shock,Shock,Shock
,,,Inflicts Thunder-type damage and Paralysis state.,Inflicts Thunder-type damage and Paralysis state.,Inflicts Thunder-type damage and Paralysis state.
,,,Slime,Slime,Slime
,,,Covers an enemy in slime and lowers their Agility.,Covers an enemy in slime and lowers their Agility.,Covers an enemy in slime and lowers their Agility.
,,,%1 shoots out slime!,%1 shoots out slime!,%1 shoots out slime!
,,,Venom,Venom,Venom
,,,Sprays an enemy with venom and inflicts Poison state.,Sprays an enemy with venom and inflicts Poison state.,Sprays an enemy with venom and inflicts Poison state.
,,,%1 uses %2!,%1 uses %2!,%1 uses %2!
,,,Shout,Shout,Shout
,,,"Rouses the user’s fighting spirit and fortifies
their abilities.","Rouses the user’s fighting spirit and fortifies
their abilities.","Rouses the user’s fighting spirit and fortifies
their abilities."
,,,%1 rouses their fighting spirit!,%1 rouses their fighting spirit!,%1 rouses their fighting spirit!
,,,Bizarre Dance,Bizarre Dance,Bizarre Dance
,,,Absorbs MP from an enemy.,Absorbs MP from an enemy.,Absorbs MP from an enemy.
,,,%1 dances bizarrely!,%1 dances bizarrely!,%1 dances bizarrely!
,,,Petrify,Petrify,Petrify
,,,Glares at an enemy and paralyzes them.,Glares at an enemy and paralyzes them.,Glares at an enemy and paralyzes them.
,,,Eye Poke,Eye Poke,Eye Poke
,,,Blinds an enemy.,Blinds an enemy.,Blinds an enemy.
,,,Sandstorm,Sandstorm,Sandstorm
,,,Blinds all enemies.,Blinds all enemies.,Blinds all enemies.
,,,Flash,Flash,Flash
,,,Toxic Fog,Toxic Fog,Toxic Fog
,,,Poisons all enemies.,Poisons all enemies.,Poisons all enemies.
,,,Lullaby,Lullaby,Lullaby
,,,Puts all enemies to sleep.,Puts all enemies to sleep.,Puts all enemies to sleep.
,,,%1 sings a Lullaby!,%1 sings a Lullaby!,%1 sings a Lullaby!
,,,Alluring Melody,Alluring Melody,Alluring Melody
,,,Charms all enemies.,Charms all enemies.,Charms all enemies.
,,,%1 sings an Alluring Melody!,%1 sings an Alluring Melody!,%1 sings an Alluring Melody!
,,,Song of Silence,Song of Silence,Song of Silence
,,,Seals all enemies’ magic.,Seals all enemies’ magic.,Seals all enemies’ magic.
,,,%1 sings a Song of Silence!,%1 sings a Song of Silence!,%1 sings a Song of Silence!
,,,Sonic Wave,Sonic Wave,Sonic Wave
,,,Confuses all enemies.,Confuses all enemies.,Confuses all enemies.
,,,Stone Throw,Stone Throw,Stone Throw
,,,Inflicts Earth-type damage on all enemies.,Inflicts Earth-type damage on all enemies.,Inflicts Earth-type damage on all enemies.
,,,Dust Devil,Dust Devil,Dust Devil
,,,Inflicts Wind-type damage on all enemies.,Inflicts Wind-type damage on all enemies.,Inflicts Wind-type damage on all enemies.
